brewery_id,beer_id,name,brewery,style,abv,ratings,ba_score,avg,url
22511,83008,Society & Solitude #4,Hill Farmstead Brewery,"1,466",4.58,,,,https://www.beeradvocate.com/beer/profile/22511/83008/
388,13825,Lou Pepe - Framboise,Brasserie Cantillon,"1,445",4.58,,,,https://www.beeradvocate.com/beer/profile/388/13825/
69717,38149,Cable Car,The Lost Abbey - Vista,"1,164",4.58,,,,https://www.beeradvocate.com/beer/profile/69717/38149/
13371,209691,Grande Negro Voodoo Papi - Bourbon Barrel-Aged,Voodoo Brewing Co.,419,4.59,,,,https://www.beeradvocate.com/beer/profile/13371/209691/
2216,30517,Oude Geuze Vintage,Brouwerij 3 Fonteinen,902,4.58,,,,https://www.beeradvocate.com/beer/profile/2216/30517/
17981,47022,Hunahpu's Imperial Stout,Cigar City Brewing,"4,471",4.57,,,,https://www.beeradvocate.com/beer/profile/17981/47022/
23222,113674,King Sue,Toppling Goliath Brewing Company,"3,625",4.57,,,,https://www.beeradvocate.com/beer/profile/23222/113674/
28743,88969,Green,Tree House Brewing Company,"3,500",4.57,,,,https://www.beeradvocate.com/beer/profile/28743/88969/
28743,125646,Haze,Tree House Brewing Company,"3,264",4.57,,,,https://www.beeradvocate.com/beer/profile/28743/125646/
28743,211516,Doppelganger,Tree House Brewing Company,"2,138",4.57,,,,https://www.beeradvocate.com/beer/profile/28743/211516/
43481,116067,Fort Point Pale Ale - Double Dry Hopped,Trillium Brewing Company,"1,810",4.57,,,,https://www.beeradvocate.com/beer/profile/43481/116067/
32319,137889,Abricot Du Fermier,Side Project Brewing,456,4.58,,,,https://www.beeradvocate.com/beer/profile/32319/137889/
36710,327893,I Let My Tape Rock,J. Wakefield Brewing,114,4.62,,,,https://www.beeradvocate.com/beer/profile/36710/327893/
28743,160275,Triple Shot,Tree House Brewing Company,665,4.57,,,,https://www.beeradvocate.com/beer/profile/28743/160275/
26,64228,Zombie Dust,3 Floyds Brewing Co.,"11,584",4.56,,,,https://www.beeradvocate.com/beer/profile/26/64228/
46317,111616,Focal Banger,The Alchemist,"4,624",4.56,,,,https://www.beeradvocate.com/beer/profile/46317/111616/
33519,123062,Swish,Bissell Brothers Brewing Co.,"1,817",4.56,,,,https://www.beeradvocate.com/beer/profile/33519/123062/
28019,84772,West Ashley,Sante Adairius Rustic Ales,"1,222",4.56,,,,https://www.beeradvocate.com/beer/profile/28019/84772/
20680,149554,Coffee Cinnamon B-Bomb,Fremont Brewing Company,"1,150",4.56,,,,https://www.beeradvocate.com/beer/profile/20680/149554/
31540,173144,The Broken Truck,de Garde Brewing,421,4.57,,,,https://www.beeradvocate.com/beer/profile/31540/173144/
32319,99350,Saison Du Fermier,Side Project Brewing,900,4.56,,,,https://www.beeradvocate.com/beer/profile/32319/99350/
30356,314813,Bourbon Paradise,Prairie Artisan Ales,856,4.56,,,,https://www.beeradvocate.com/beer/profile/30356/314813/
20680,116702,The Rusty Nail,Fremont Brewing Company,837,4.56,,,,https://www.beeradvocate.com/beer/profile/20680/116702/
32319,414891,BVC,Side Project Brewing,98,4.62,,,,https://www.beeradvocate.com/beer/profile/32319/414891/
29160,685353,V.S.O.R. Select,Revolution Brewing,83,4.63,,,,https://www.beeradvocate.com/beer/profile/29160/685353/
863,22227,Supplication,Russian River Brewing Company,"6,742",4.55,,,,https://www.beeradvocate.com/beer/profile/863/22227/
17980,117177,Sip Of Sunshine,Lawson's Finest Liquids,"6,270",4.55,,,,https://www.beeradvocate.com/beer/profile/17980/117177/
14064,56082,Citra,Kern River Brewing Company,"1,915",4.55,,,,https://www.beeradvocate.com/beer/profile/14064/56082/
33510,325706,4th Anniversary,Other Half Brewing - Center Street,282,4.57,,,,https://www.beeradvocate.com/beer/profile/33510/325706/
43481,107406,Fort Point Pale Ale -  Galaxy Dry Hopped,Trillium Brewing Company,"1,800",4.55,,,,https://www.beeradvocate.com/beer/profile/43481/107406/
17980,120372,Triple Sunshine,Lawson's Finest Liquids,"1,187",4.55,,,,https://www.beeradvocate.com/beer/profile/17980/120372/
22511,62172,Ephraim,Hill Farmstead Brewery,"1,183",4.55,,,,https://www.beeradvocate.com/beer/profile/22511/62172/
26676,129108,Sunday Brunch,Kane Brewing Company,861,4.55,,,,https://www.beeradvocate.com/beer/profile/26676/129108/
31540,199469,The Peach,de Garde Brewing,349,4.56,,,,https://www.beeradvocate.com/beer/profile/31540/199469/
26676,173480,Mexican Brunch,Kane Brewing Company,618,4.55,,,,https://www.beeradvocate.com/beer/profile/26676/173480/
42273,334379,Nillerzzzzz,Forager Brewing Company,161,4.58,,,,https://www.beeradvocate.com/beer/profile/42273/334379/
287,37265,Black Note Stout,Bell's Brewery - Eccentric Café & General Store,"4,992",4.54,,,,https://www.beeradvocate.com/beer/profile/287/37265/
16866,51257,Black Tuesday,The Bruery,"4,308",4.54,,,,https://www.beeradvocate.com/beer/profile/16866/51257/
863,27992,Beatification,Russian River Brewing Company,"2,953",4.54,,,,https://www.beeradvocate.com/beer/profile/863/27992/
28743,176650,Alter Ego,Tree House Brewing Company,"2,653",4.54,,,,https://www.beeradvocate.com/beer/profile/28743/176650/
388,8954,Saint Lamvinus,Brasserie Cantillon,"2,340",4.54,,,,https://www.beeradvocate.com/beer/profile/388/8954/
36710,155870,Miami Madness,J. Wakefield Brewing,510,4.55,,,,https://www.beeradvocate.com/beer/profile/36710/155870/
2097,34313,Fourth Dementia - Bourbon Barrel-Aged,Kuhnhenn Brewing Company,"2,095",4.54,,,,https://www.beeradvocate.com/beer/profile/2097/34313/
38773,218283,Medianoche - Coconut,WeldWerks Brewing Co.,279,4.56,,,,https://www.beeradvocate.com/beer/profile/38773/218283/
22511,85523,Society & Solitude #5,Hill Farmstead Brewery,"1,668",4.54,,,,https://www.beeradvocate.com/beer/profile/22511/85523/
35633,208419,Leaner,Casey Brewing & Blending and Barrel Cellar,268,4.56,,,,https://www.beeradvocate.com/beer/profile/35633/208419/
31805,153905,Last Buffalo In The Park,Funky Buddha Brewery,917,4.54,,,,https://www.beeradvocate.com/beer/profile/31805/153905/
10902,42664,Kaggen! Stormaktsporter,Närke Kulturbryggeri AB,239,4.56,,,,https://www.beeradvocate.com/beer/profile/10902/42664/
652,185536,Black Gold,Central Waters Brewing Co.,901,4.54,,,,https://www.beeradvocate.com/beer/profile/652/185536/
22511,112080,Beyond Good And Evil,Hill Farmstead Brewery,800,4.54,,,,https://www.beeradvocate.com/beer/profile/22511/112080/
28657,316918,Adios Ghost,Monkish Brewing Co.,94,4.6,,,,https://www.beeradvocate.com/beer/profile/28657/316918/
28743,350694,Gggreennn!,Tree House Brewing Company,593,4.54,,,,https://www.beeradvocate.com/beer/profile/28743/350694/
28743,160396,Truth,Tree House Brewing Company,156,4.57,,,,https://www.beeradvocate.com/beer/profile/28743/160396/
33824,231652,Fundamental Forces,Bottle Logic Brewing,300,4.55,,,,https://www.beeradvocate.com/beer/profile/33824/231652/
16866,53728,Chocolate Rain,The Bruery,"2,891",4.53,,,,https://www.beeradvocate.com/beer/profile/16866/53728/
28743,554687,JJJuiceee Machine,Tree House Brewing Company,263,4.55,,,,https://www.beeradvocate.com/beer/profile/28743/554687/
28743,113784,Double Shot,Tree House Brewing Company,"1,248",4.53,,,,https://www.beeradvocate.com/beer/profile/28743/113784/
2210,92314,Parabajava,Firestone Walker Brewing Co.,967,4.53,,,,https://www.beeradvocate.com/beer/profile/2210/92314/
23066,70013,Notorious Triple IPA,Boneyard Beer Company,910,4.53,,,,https://www.beeradvocate.com/beer/profile/23066/70013/
26676,320826,Sunday Brunch - Bourbon Barrel-Aged,Kane Brewing Company,135,4.57,,,,https://www.beeradvocate.com/beer/profile/26676/320826/
28743,555724,Emperor Julius,Tree House Brewing Company,364,4.54,,,,https://www.beeradvocate.com/beer/profile/28743/555724/
31987,319512,Modem Tones - Bourbon Barrel-Aged - Vanilla,Modern Times Beer,158,4.56,,,,https://www.beeradvocate.com/beer/profile/31987/319512/
28743,322847,Moment Of Clarity,Tree House Brewing Company,598,4.53,,,,https://www.beeradvocate.com/beer/profile/28743/322847/
22511,264355,Double Nelson,Hill Farmstead Brewery,537,4.53,,,,https://www.beeradvocate.com/beer/profile/22511/264355/
1471,60426,Plead The 5th - Bourbon Barrel-Aged,Dark Horse Brewing Company,"3,378",4.52,,,,https://www.beeradvocate.com/beer/profile/1471/60426/
25888,660520,Abraxas - Barrel-Aged - Vietnamese Coffee,Perennial Artisan Ales,77,4.6,,,,https://www.beeradvocate.com/beer/profile/25888/660520/
